2026-03-28 20:27:38,305 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:28:35,990 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:28:36,092 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:28:36,092 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:28:37,108 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:28:37,219 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:28:37,219 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:28:37,966 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:28:38,038 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:28:38,038 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
2026-03-28 20:28:40,151 - [INFO] - ACTION: Fetch Tasks | DETAIL: Retrieved 51 events from Moodle | RESULT: Success
2026-03-28 20:28:40,615 - [INFO] - ACTION: Remote Command Received | DETAIL: Command: toggle_theme | RESULT: Success
2026-03-28 20:28:40,628 - [INFO] - ACTION: WebSocket Broadcast | DETAIL: Sent toggle_theme to 4/4 clients | RESULT: Success
2026-03-28 20:28:40,628 - [INFO] - ACTION: Toggle Theme | DETAIL: Sent theme change to all displays | RESULT: Success
